Title,Link,Summary,Published Date,Source,Location
"Debby left thousands in the dark, and threats of more flooding",https://www.npr.org/2024/08/11/nx-s1-5071222/debby-aftermath-power-outages-flooding,"The weather system previously known as Hurricane Debby was not quite done with parts of the U.S. Sunday as flood warnings remained in effect in North Carolina and thousands were without power in New York, Ohio and Pennsylvania.",2024-08-12T01:40:08Z,NPR,"Debby, U.S., North Carolina, New York, Ohio, Pennsylvania"
Jobhunters Flood Recruiters With AI-Generated CVs,https://tech.slashdot.org/story/24/08/13/142256/jobhunters-flood-recruiters-with-ai-generated-cvs,"About half of all job seekers are using AI tools to apply for roles, inundating employers and recruiters with low-quality applications in an already squeezed labour market. From a report: Candidates are turning increasingly to generative AI -- the type used i…",2024-08-13T14:02:00Z,Slashdot.org,
"When an earthquake struck in 1989, Julia locked eyes with a stranger and embraced",https://www.npr.org/2024/08/16/nx-s1-5078749/earthquake-kindness-stranger-help,Julia Weber was walking home from work one day in San Francisco when an earthquake struck. She rode it out in the arms of a stranger.,2024-08-19T09:00:00Z,NPR,"Julia, San Francisco"
Americans are so desperate for cheaper houses that they're willing to live in flood and wildfire zones,https://www.businessinsider.com/housing-insurance-costs-climate-change-floods-fires-texas-florida-2024-8,Cheaper housing and a lower cost of living has lured many Americans into regions of the country most at risk of extreme weather and natural disasters.,2024-08-17T09:37:02Z,Business Insider,
Magnitude 5.2 earthquake rattles Southern California,https://ktla.com/news/california/preliminary-5-3-magnitude-earthquake-rattles-southern-california/,"A magnitude 5.2 earthquake struck near Bakersfield Tuesday evening sending out shockwaves felt across Southern California. The quake, which struck at a depth...",2024-08-07T04:21:11Z,KTLA Los Angeles,Bakersfield
Morning earthquake rattles the Inland Empire,https://www.yahoo.com/news/morning-earthquake-rattles-inland-empire-133846678.html,Did you feel it?,2024-08-28T13:38:46Z,Yahoo Entertainment,
Earthquake rocks Los Angeles,https://abcnews.go.com/US/earthquake-rocks-los-angeles/story?id=112784649,A 4.4 magnitude earthquake rocked the Los Angeles region early Monday afternoon.,2024-08-12T19:35:41Z,ABC News,"Los Angeles, Los Angeles"
A Significant Earthquake Hits Los Angeles,https://time.com/7010282/earthquake-hits-los-angeles/,People reported feeling it strongly across the Los Angeles area.,2024-08-12T20:05:12Z,Time,"Los Angeles, Los Angeles"
"Washington, DC, is the best place in the US for pay and good jobs. See the other top states.",https://www.businessinsider.com/best-us-states-high-wages-salaries-worker-rights-california-2024-8,"A flood of workers have moved south in recent years, but many southern states offer lower wages and fewer worker protections.",2024-08-29T09:56:02Z,Business Insider,"Washington, DC, US"
A24’s Y2K looks like an apocalyptic rager in first trailer,https://www.theverge.com/2024/8/20/24223963/a24-y2k-trailer,Y2K — out December 6th — from co-writer / director Kyle Mooney pits millennials against machines in first trailer.,2024-08-20T13:08:02Z,The Verge,
"Bonds backed by commercial mortgages are a 'disaster' as real estate values crumble, hedge funder says",https://markets.businessinsider.com/news/bonds/real-estate-crash-commercial-property-prices-investing-mortgage-backed-securities-2024-8,"The CMBS market is in trouble, one hedge fund boss says, as loans on offices across the US are at risk of defaulting.",2024-08-30T18:11:23Z,Business Insider,US
Turkey has blocked Roblox over child exploitation reports,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_ececfff2-f431-4a80-a421-e64433405805,"Just five days after blocking Instagram, Turkey has banned Roblox over reports of inappropriate sexual content perceived as exploiting children, Türkiye Today reported. An official from the Türkiye Directorate of Communications also cited ""promotion of homose…",2024-08-08T12:00:18Z,Yahoo Entertainment,"Turkey, Instagram, Turkey"
WATCH: Radio station shakes during Japan earthquake,https://abcnews.go.com/International/video/radio-station-shakes-japan-earthquake-112677589,A local radio station's office could be seen vigorously shaking in footage captured during a strong earthquake that rocked the coast of southern Japan on Thursday.,2024-08-08T14:54:21Z,ABC News,"Japan, Japan"
How Marshall Fire Victims in Colorado Turned Tragedy Into Political Change,https://gizmodo.com/how-marshall-fire-victims-in-colorado-turned-tragedy-into-political-change-2000486538,"After the fire destroyed his town in 2021, a state rep took on insurance companies, mortgage lenders, and landlords—and beat them all.",2024-08-13T18:25:20Z,Gizmodo.com,Colorado
Campers leave early as Storm Lilian sweeps in,https://www.bbc.com/news/articles/ckgjee5e163o,"Storm Lilian is expected to bring strong winds during Friday, with warnings of travel disruption.",2024-08-23T06:44:56Z,BBC News,
Alaskans recount escapes after a record-breaking glacial outburst flood hits Juneau,https://www.npr.org/2024/08/08/nx-s1-5066891/alaskans-recount-escapes-after-a-record-breaking-glacial-outburst-flood-hits-juneau,"For the second year in a row, an outburst of flooding from a naturally dammed lake at the Mendenhall Glacier has caused damage to homes in Juneau.",2024-08-08T09:14:52Z,NPR,Juneau
Big polluters urged to pay as key Pacific summit opens in Tonga,https://www.yahoo.com/news/big-polluters-urged-pay-key-050143798.html,"Emissions-belching nations were challenged to stump up for climate-related damage as a key Pacific islands summit opened on Monday, with low-lying Tuvalu...",2024-08-26T05:01:43Z,Yahoo Entertainment,
"Wild Week of U.S. Weather Includes Heat Wave, Tropical Storm, Snow, and More",https://time.com/7015078/extreme-weather-us/,Many parts of the country have faced everything from heat waves to snowstorms to flash floods.,2024-08-27T12:19:04Z,Time,U.S.
"7.1 magnitude earthquake strikes coast of Japan, tsunami advisories triggered",https://abcnews.go.com/International/71-magnitude-earthquake-strikes-coast-japan/story?id=112669098,A strong earthquake with a preliminary magnitude of 7.1 has rocked the coast of southern Japan.,2024-08-08T08:41:50Z,ABC News,"Japan, Japan"
Trump Rambled About ‘Nuclear Warming’ in a Disastrous Two Hour Talk with Elon Musk,https://gizmodo.com/trump-rambled-about-nuclear-warming-in-a-disastrous-two-hour-talk-with-elon-musk-2000486288,The former president lisped his way through easy questions from one of the richest men on the planet.,2024-08-13T13:40:26Z,Gizmodo.com,
My Favorite Do-It-All Multitool Is 20% Off for Labor Day,https://www.cnet.com/deals/my-favorite-do-it-all-multitool-is-20-off-for-labor-day/,"This small but mighty multitool packs a punch in function, but not in price, and it's on sale for Labor Day.",2024-08-30T12:55:13Z,CNET,
"Debby’s remnants flood roadways, strand vehicles in Maryland",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_dc3f4eb6-fd18-4c35-8568-ca89c1b624ce,,2024-08-09T13:48:33Z,Yahoo Entertainment,"Debby, Maryland None"
California rocked by 5.3 magnitude earthquake centered near Bakersfield,https://abcnews.go.com/US/southern-california-rocked-53-magnitude-earthquake-centered-bakersfield/story?id=112631691,"The biggest one was centered in Kern County, but was felt in Los Angeles.",2024-08-07T04:34:44Z,ABC News,"California, Bakersfield, Kern County, Los Angeles"
Aquarium of the Pacific Shows Animal Reactions to Recent Earthquake and It’s Fascinating,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_5d1f72e6-037d-40ec-9213-f191169fa3d4,,2024-08-15T14:00:00Z,Yahoo Entertainment,
"Tom Cruise Must Save the World, Again, In His New WB Movie",https://gizmodo.com/tom-cruise-alejandro-innaritu-warner-bros-movie-2000490616,"We finally have an idea of what Cruise is doing in Alejandro G. Iñàrritu's mystery movie, and who he'll be doing it with.",2024-08-24T14:30:41Z,Gizmodo.com,
An attorney who helped acquit missing tech tycoon Mike Lynch among those feared dead in superyacht disaster,https://www.businessinsider.com/mike-lynch-lawyer-christopher-morvillo-wife-dead-yacht-bayesian-2024-8,"A well-known defense lawyer, who helped Mike Lynch win acquittal, is missing along with his wife after Lynch's yacht sank off the Italian coast.",2024-08-19T19:42:30Z,Business Insider,
The Imminent Student-Loan Disaster,https://www.jamesgmartin.center/2024/08/the-imminent-student-loan-disaster-were-not-talking-about/,"Legal battles over President Biden’s various schemes to forgive student debt continue. In July, the Eighth Circuit Court of Appeals indefinitely blocked the administration’s ultra-generous new student-loan repayment plan, which … Continue reading ""The Imminen…",2024-08-11T13:41:59Z,Jamesgmartin.center,
"Passengers narrowly escape disaster as plane’s tires burst during takeoff, shattering window",https://www.yahoo.com/news/passengers-narrowly-escape-disaster-plane-095100869.html,"Passengers narrowly escape disaster as plane’s tires burst during takeoff, shattering window Plane passengers had a lucky escape when two tyres burst during ...",2024-08-06T09:51:00Z,Yahoo Entertainment,
Japan warns of heightened risk of megaquake,https://www.bbc.com/news/articles/c9qgv8pg59ro,The warning comes after a 7.1 magnitude earthquake struck off the southern Japan earlier on Thursday.,2024-08-08T15:59:07Z,BBC News,"Japan, Japan"
This Code Breaker Is Using AI to Decode the Heart’s Secret Rhythms,https://www.wired.com/story/ai-doctor-roeland-decorte-future-industries/,"Inspired by his expertise in breaking ancient codes, Roeland Decorte built a smartphone app that continuously listens for signs of disease hidden in our pulse.",2024-08-15T09:00:00Z,Wired,
The Ultimate Seed Vault Backup? How About the Moon,https://hackaday.com/2024/08/04/the-ultimate-seed-vault-backup-how-about-the-moon/,"A safe haven to preserve samples of biodiversity from climate change, habitat loss, natural disaster, and other threats is recognized as a worthwhile endeavor. Everyone knows good backup practice involves …read more",2024-08-05T05:00:00Z,Hackaday,
Lego-like construction blocks made from plastic waste can stand up to nature’s fury,https://www.foxnews.com/tech/lego-like-construction-blocks-made-from-plastic-waste-can-stand-up-natures-fury,Block Solutions of Finland is revolutionizing the construction industry with interlocking Lego-like building blocks that are made using waste plastic.,2024-08-17T10:00:01Z,Fox News,Finland
Rare sighting: ‘Doomsday fish’ found near La Jolla Shores,https://fox5sandiego.com/news/local-news/rare-sighting-oarfish-washes-up-at-la-jolla-shores/,"In a rare and perhaps ominous sighting, an oarfish was found floating near La Jolla Shores over the weekend.",2024-08-14T16:02:06Z,fox5sandiego.com,
Mobile Block Factory Turns Rubble into Lego-Like Blocks for Disaster Relief Housing,https://www.core77.com/posts/133195/Mobile-Block-Factory-Turns-Rubble-into-Lego-Like-Blocks-for-Disaster-Relief-Housing,"When structures are destroyed by war or natural disasters, there is an urgent need to rehouse displaced residents. Most disaster relief housing initiatives focus on deploying tent-like structures. But an Australian charity called Mobile Crisis Construction ha…",2024-08-01T15:00:00Z,Core77.com,
Hiker missing after getting swept into Grand Canyon creek during flash flood: NPS,https://abcnews.go.com/US/hiker-search-grand-canyon-flash-flood/story?id=113112922,"A 33-year-old woman is missing following a flash flood in Grand Canyon National Park, officials said.",2024-08-24T00:16:49Z,ABC News,
Editorial: Is this the last possible solution to Chicago’s parking meter disaster?,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_d6c658df-f99e-4850-a1fb-57c1ac647d9c,,2024-08-15T10:00:00Z,Yahoo Entertainment,Chicago
Manslaughter Probe Launched as Final Body in Superyacht Disaster Is Found,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_d4a4933e-2a39-4018-943d-30a9b0c40262,,2024-08-23T13:24:23Z,Yahoo Entertainment,
On the Bus With the RFK Jr. Bros,https://www.wired.com/story/on-the-bus-with-the-rfk-jr-bros/,"As Robert F. Kennedy Jr. was preparing to endorse Donald Trump, two of his strongest soldiers were blaring AI-generated music while rolling a bus through Chicago. “We maintain,"" one said, “the good vibes.”",2024-08-29T10:30:00Z,Wired,Chicago
Barbara Corcoran’s Top 8 Tips That Will Save You From Financial Disaster,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_b4a49ba4-67e1-4882-9444-5b73e11cd866,,2024-08-15T14:00:11Z,Yahoo Entertainment,
'There's a reckoning happening': An underrated risk will crater property values in high-risk markets by up to 60%,https://www.businessinsider.com/real-estate-housing-market-climate-change-outlook-prediction-floods-burt-2024-8,"After making $80 million from the subprime mortgage crisis, David Burt sees another threat coming that could sink home values by up to 60%.",2024-08-09T08:00:02Z,Business Insider,
"Debby spurs flash flood warnings in Chemung, Steuben, Schuyler counties. What to know.",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_02616660-ccbe-4ddf-ad77-512f696b416b,,2024-08-09T15:21:19Z,Yahoo Entertainment,"Debby, Chemung"
China pledges billions more in funds to aid disaster-stricken farm regions,https://www.yahoo.com/news/china-vows-financial-support-restore-041431035.html,BEIJING/HONG KONG (Reuters) -China's central bank said on Tuesday it will provide an additional 100 billion yuan ($14 billion) to banks to support rebuilding...,2024-08-13T04:14:31Z,Yahoo Entertainment,"China, BEIJING"
Flash flood rampaged through idyllic canyon of azure waterfalls; search for hiker ends in heartbreak,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_94a42f85-0d20-4bba-a18f-3b6d5d157cd3,,2024-08-30T04:15:05Z,Yahoo Entertainment,
Two people are dead after Wayne County crash,https://www.pahomepage.com/news/two-people-dead-after-wayne-county-crash/,"CHERRY RIDGE TOWNSHIP, WAYNE COUNTY (WBRE/WYOU)— Two people are dead after a crash involving three vehicles on Saturday night. According to the Office of the...",2024-08-18T17:58:03Z,Pahomepage.com,"CHERRY RIDGE TOWNSHIP, WAYNE COUNTY"
"Ahead of soccer's longest-ever season, are players on verge of burning out?",https://www.espn.com/soccer/story/_/id/40746374/soccer-burnout-longest-ever-season-2024-25,"For years, critics have highlighted the risks of too many games for top players, but this season will be the most grueling yet for the likes of Mbappe, Haaland and Bellingham. Is the sport heading for disaster?",2024-08-13T12:38:25Z,ESPN,Bellingham
Zapping Beaches With Electricity Can Produce ‘Natural Cement’ Where We Need It Most,https://gizmodo.com/zapping-beaches-with-electricity-can-produce-natural-cement-where-we-need-it-most-2000489902,"Coastlines are washing away, but a surprising technique could make grains of sand stick together and prevent erosion.",2024-08-22T16:47:55Z,Gizmodo.com,
"The Atari 7800+ Looks Just Like the Long-Forgotten Console, but Now With Games Worth Playing",https://gizmodo.com/the-atari-7800-looks-just-like-the-long-forgotten-console-but-now-with-games-worth-playing-2000489005,"Atari’s follow up to its 2600+ retro console for modern TVs is the Atari 7800+. Just like the console from 1986, it’s backwards compatible with the 2600.",2024-08-20T18:10:12Z,Gizmodo.com,
Salt Lake Temple towers loaded on new seismic foundation as renovations continue,https://www.abc4.com/news/local-news/salt-lake-temple-renovation-update/,SALT LAKE CITY (ABC4) — Officials with the Church of Jesus Christ of Latter-day Saints provided an update on the renovation work on the downtown Salt Lake...,2024-08-30T18:26:28Z,ABC 4,Salt Lake
The crucial first step in preparing for a climate disaster,https://www.vox.com/climate/364660/natural-weather-disaster-climate-fire-hurricane-flood,"When your phone makes that discordant shrill noise and a disaster alert pops up, do you know what to do? Do you have a go bag? Do you have a place to crash for a few days? Do you have a way to get there? What about your kids or your pets? And if your […]",2024-08-02T20:21:09Z,Vox,
Japan's Kishida cancels Asia trip after scientists urge preparations for a possible 'megaquake',https://www.yahoo.com/news/japans-kishida-cancels-asia-trip-130239804.html,Japanese Prime Minister Fumio Kishida canceled a planned trip to Central Asia on Friday to lead the government’s response after scientists urged people to...,2024-08-09T13:02:39Z,Yahoo Entertainment,"Japan, Kishida"
"This Disaster-Preparedness Clock Will Support You With A Flashlight, Radio And Charging Abilities",https://www.yankodesign.com/2024/08/25/this-disaster-preparedness-clock-will-support-you-with-a-flashlight-radio-and-charging-abilities/,"This Disaster-Preparedness Clock Will Support You With A Flashlight, Radio And Charging AbilitiesWhen disaster strikes, staying informed and prepared is crucial. The Rhythm 4RQ002-003 Disaster-preparedness Clock is a remarkable gadget designed with precisely …",2024-08-25T19:15:37Z,Yanko Design,
Bodies recovered after 62 die in Brazil plane crash,https://www.bbc.com/news/articles/c4gzpl2j260o,Teams worked through the night to find victims of the disaster in São Paulo state which killed all on board.,2024-08-10T15:04:16Z,BBC News,"Brazil, São Paulo"
"Hacked, scammed, exposed: Why you're 1 step away from disaster online",https://www.foxnews.com/tech/hacked-scammed-exposed-why-youre-one-step-away-from-disaster-online,"Stay safe online: Tech expert Kurt “CyberGuy"" Knutsson reveals some preventive steps you can take to help avoid security and privacy disasters.",2024-08-05T14:00:23Z,Fox News,
Far right eyes political earthquake as Germans head to the polls,https://www.bbc.com/news/articles/c05jvve89g3o,The far-right Alternative for Germany is set to do very well in state elections in the east.,2024-08-30T23:07:32Z,BBC News,Germany
Waymo Is Unleashing Robotaxis on Bay Area Freeways This Week,https://gizmodo.com/waymo-is-unleashing-robotaxis-on-bay-area-freeways-this-week-2000485916,"If you live in California, vehicles with no drivers may soon be zipping down the freeway past your own car.",2024-08-12T19:15:40Z,Gizmodo.com,California
Trump Returns to Twitter in a Weird Way,https://gizmodo.com/trump-returns-to-twitter-in-a-weird-way-2000485796,The former president's account is posting ahead of his interview with Elon Musk.,2024-08-12T13:30:51Z,Gizmodo.com,
Fire at Nuclear Power Plant in Ukraine Puts Experts on Edge,https://gizmodo.com/fire-at-nuclear-power-plant-in-ukraine-puts-experts-on-edge-2000485875,"Images of a cooling tower belching black are frightening, but Russia says it’s all under control now.",2024-08-12T16:20:15Z,Gizmodo.com,"Russia, https://gizmodo.com/fire-at-nuclear-power-plant-in-ukraine-puts-experts-on-edge-2000485875"
RFK Jr. Might Have Broken the Law By Allegedly Decapitating a Whale With a Chainsaw,https://gizmodo.com/rfk-jr-might-have-broken-the-law-by-allegedly-decapitating-a-whale-with-a-chainsaw-2000491413,An environmental group is upset with RFK Jr. over an old story about the time he cut the head off a dead whale.,2024-08-27T14:30:11Z,Gizmodo.com,
Marvel Cites ‘Egregious Misconduct’ For Firing X-Men ’97 Showrunner Beau DeMayo,https://gizmodo.com/marvel-x-men-97-beau-demayo-firing-allegations-disney-2000487903,"After months of silence, both DeMayo and Marvel are now going after each other in the court of public opinion.",2024-08-16T14:00:46Z,Gizmodo.com,Marvel
Quentin Tarantino Says His Star Trek Movie Is Never Going to Happen,https://gizmodo.com/quentin-tarantino-star-trek-movie-paramount-2000490796,"Plus, Mike Flanagan wants in on James Gunn's DC Universe.",2024-08-26T13:21:01Z,Gizmodo.com,
Horrifying Fish Die-Off Sparks Ecological Nightmare for Greek Coastal Town,https://gizmodo.com/horrifying-fish-die-off-sparks-devastating-ecological-nightmare-for-greek-coastal-town-2000492613,"Over 100 tons of fish have been collected so far, in a situation that just plain stinks.",2024-08-29T17:30:11Z,Gizmodo.com,
"Ultra-Thin, Flexible Solar Cells Could Soon Coat and Power Your Stuff",https://gizmodo.com/ultra-thin-flexible-solar-cells-could-soon-coat-and-power-your-stuff-2000490039,"Developed at Oxford, the cells are just 1 micron thick, but they match conventional materials in efficiency.",2024-08-23T11:00:58Z,Gizmodo.com,
Tourists are recreating the 'Temple Run' video game in a Cambodian temple. Historians are horrified.,https://www.businessinsider.com/temple-run-tiktok-videos-tourists-running-angkor-wat-cambodia-2024-8,"""If one wouldn't do something in a church or a mosque, they shouldn't do it in an Angkorian temple,"" one archaeologist told BI.",2024-08-27T16:02:51Z,Business Insider,
Japan's 'megaquake' warning explained,https://phys.org/news/2024-08-japan-megaquake.html,"Japan's earthquake scientists say the country should prepare for a possible ""megaquake"" one day that could kill hundreds of thousands of people—although they stress the warning does not mean a colossal tremor is imminent.",2024-08-09T08:19:28Z,Phys.Org,"Japan, Japan"
"As flood waters swallow neighborhoods, frustrated Sarasota residents blame development",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_179f00d7-7138-4da5-bfec-a274e9a743b8,,2024-08-11T08:01:33Z,Yahoo Entertainment,Sarasota
Japan 'megaquake' advisory after tremor injures eight,https://phys.org/news/2024-08-japan-megaquake-advisory-tremor.html,"Japan's earthquake scientists have warned of the possibility of a coming ""megaquake"" after eight people were injured Thursday by one of magnitude 7.1 in the south.",2024-08-09T08:18:50Z,Phys.Org,"Japan, Japan"
'For two seconds I lost my baby in the sea' - Sicily yacht survivor,https://www.bbc.com/news/articles/cwyxqqp42d5o,Charlotte Golunski used all her strength to hold her baby above the surface of the water after the Bayesian yacht sank.,2024-08-19T15:53:12Z,BBC News,
Infected blood victims 'very cautious' over compensation,https://www.bbc.com/news/articles/cx295p2vr02o,Ministers say they want to press on with the scheme following the public inquiry report into the scandal.,2024-08-16T09:05:49Z,BBC News,
The rural Americans too poor for federal flood protections,http://grist.org/extreme-weather/the-rural-americans-too-poor-for-federal-flood-protections/,A data-driven disaster tool shows “bias” against rural communities.,2024-08-18T13:00:00Z,Grist,
"Japan lifts ‘megaquake’ warning, tells people to ‘go back to normal’",https://www.aljazeera.com/news/2024/8/15/japan-lifts-megaquake-warning-tells-people-to-go-back-to-normal,"Alert triggered panic in archipelago of 125 million people with many cancelling holidays, stocking up on essentials.",2024-08-15T11:12:51Z,Al Jazeera English,Japan
"Floods ease in Bangladesh but 300,000 still in shelters",https://phys.org/news/2024-08-ease-bangladesh.html,"River waters in low-lying Bangladesh are receding after days of deadly floods but 300,000 people are still in emergency shelters requiring aid, disaster officials said Sunday.",2024-08-25T06:53:44Z,Phys.Org,Bangladesh
Grilling These 7 Foods Is a Total Disaster,https://www.cnet.com/home/kitchen-and-household/grilling-these-7-foods-is-a-total-disaster/,Don't get burned by flaky fish and fatty bacon. Here are seven foods should never go directly on the grates.,2024-08-21T14:40:00Z,CNET,
"Bath Swiftwater Rescue saves person from flooded home, three stranded on submerged truck",https://www.eveningtribune.com/story/news/local/2024/08/09/bath-swiftwater-rescue-makes-saves-in-canisteo-jasper-flood-response/74746034007/,"Bath Swiftwater Rescue detailed its saves in Friday's flood, aiding three people who fled the top of a submerged pickup truck in Canisteo.",2024-08-10T01:35:08Z,Hornell Evening Tribune,Canisteo
Body of woman swept away in Grand Canyon flash flood is found,https://www.yahoo.com/news/body-woman-swept-away-grand-044346001.html,"The body of Chenoa Nickerson, who was swept away in a flash flood in the Grand Canyon, was found in the Colorado River late Sunday morning, park officials...",2024-08-26T04:43:46Z,Yahoo Entertainment,
Scientist's method could give months' warning of major earthquakes,https://www.sciencedaily.com/releases/2024/08/240829223211.htm,"The public could have days or months of warning about a major earthquake through identification of prior low-level tectonic unrest over large areas, according to research by scientists who analyzed two major quakes in Alaska and California.",2024-08-30T02:32:11Z,Science Daily,"Alaska, California"
South Korea Faces Deepfake Porn 'Emergency',https://tech.slashdot.org/story/24/08/28/2112225/south-korea-faces-deepfake-porn-emergency,"An anonymous reader quotes a report from the BBC: South Korea's president has urged authorities to do more to ""eradicate"" the country's digital sex crime epidemic, amid a flood of deepfake pornography targeting young women. Authorities, journalists and social…",2024-08-29T00:45:00Z,Slashdot.org,South Korea's
"It took a debate disaster and a pressure campaign led by Pelosi. But at the DNC, Biden finally kept his promise to be a bridge to the Democratic Party's future.",https://www.businessinsider.com/biden-harris-bridge-to-future-dnc-speech-2024-8,"Biden in a matter of weeks has pivoted from presidential contender to retiring politician. During his DNC speech, he passed the torch to VP Harris.",2024-08-20T04:27:23Z,Business Insider,
Algorithm raises new questions about Cascadia earthquake record,https://www.sciencedaily.com/releases/2024/08/240827192506.htm,"A study is calling into question the reliability of the earthquake record of Cascadia. The researchers analyzed a selection of turbidite layers from the Cascadia subduction zone dating back about 12,000 years ago with an algorithm that assessed how well turbi…",2024-08-27T23:25:06Z,Science Daily,"Algorithm, Cascadia, Cascadia"
WATCH: Maryland Gov. Wes Moore addresses the Democratic National Convention,https://www.npr.org/2024/08/21/g-s1-18667/maryland-wes-moore-democratic-national-convention,Maryland's governor takes a Trump deferment jab.,2024-08-22T03:47:50Z,NPR,Maryland
Telegram Founder Pavel Durov Is Not a Free-Speech Martyr,https://gizmodo.com/telegram-founder-pavel-durov-is-not-a-free-speech-martyr-2000492567,"The CEO's arrest in France raises many questions about how to police the internet, but it's not about free speech.",2024-08-29T16:00:13Z,Gizmodo.com,France
Ferrari F8 Tributo Driver Wrecks at Cars and Coffee Event,https://autos.yahoo.com/ferrari-f8-tributo-driver-wrecks-183000192.html,"Another Cars and Coffee event has ended in disaster, this time at Cypress, Texas, where a Ferrari F8 Tributo driver lost control and crashed into a median...",2024-08-26T18:30:00Z,Yahoo Entertainment,"Cypress, Texas"
Facebook’s Twisted Incentives Created Its AI Slop Era,https://gizmodo.com/facebooks-twisted-incentives-created-its-ai-slop-era-2000484110,The social media giant's Creator Bonus Program has created a world where AI-generated spam is a business.,2024-08-07T15:47:25Z,Gizmodo.com,
Watch: rocket explodes during test for UK’s first vertical launch,https://thenextweb.com/news/watch-rocket-fire-during-saxavord-spaceport-test,"A rocket engine has exploded during tests for a landmark space flight from the UK. The fire erupted at SaxaVord Spaceport, which aims to host the first vertical launch into orbit from Western Europe. German startup Rocket Factory Augsburg (RFA) has exclusive …",2024-08-20T11:19:40Z,The Next Web,"UK, UK"
System Design Scale,https://betterengineers.substack.com/p/system-design-scale-0-to-millions,"Supporting Millions of users is a challenging task, it requires understanding distributed Systems and concepts.",2024-08-07T17:59:28Z,Substack.com,
Gov. DeSantis declares state of emergency as coming heavy rains might cause ‘major disaster’,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_c5d0f33e-1c8d-4580-8540-68ffa0c5b024,,2024-08-01T23:05:45Z,Yahoo Entertainment,
"Alaska declares state disaster emergency as ‘glacial lake outburst’ floods homes, roads",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_0b93a1e7-8bdc-4a72-9469-760722f59ada,,2024-08-06T20:40:40Z,Yahoo Entertainment,Alaska
NYC lawyer who died in yacht disaster wrote haunting LinkedIn post weeks before,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_f9db22e4-ebd8-44e6-bc62-eefadb818f49,,2024-08-25T07:42:23Z,Yahoo Entertainment,"LinkedIn, None"
Japan Just Issued Its First ‘Megaquake’ Alert. Here’s What You Should Know,https://gizmodo.com/japan-just-issued-its-first-megaquake-alert-heres-what-you-should-know-2000485175,"Thursday's 7.1 earthquake has heightened concerns among experts, who warn that it could be a precursor to an even larger rupture along a fault line off the Japanese coast.",2024-08-09T16:40:41Z,Gizmodo.com,Japan
How to Stay Prepared and Informed for Extreme Weather,https://gizmodo.com/how-to-stay-prepared-and-informed-for-extreme-weather-2000493319,"How to pack a go-bag, get emergency alerts, and find disaster aid.",2024-08-30T19:30:29Z,Gizmodo.com,
Trump's Crypto Embrace Could Be a Disaster for Bitcoin,https://www.wired.com/story/donald-trump-bitcoin-reserve-promises/,"At the Bitcoin 2024 conference in Nashville, Donald Trump promised the crypto community the moon. They'd better hope they don't get it.",2024-08-02T13:00:00Z,Wired,Nashville
Your Guide to Surviving Extreme Weather,https://www.wired.com/story/your-guide-to-surviving-extreme-weather-flooding-hurricanes-wildfires-heat/,"How to pack a go bag, get emergency alerts, and find disaster aid.",2024-08-24T11:00:00Z,Wired,
Taylor Swift Pulling a 9/11 Gives Companies a Whole New Reason to Advertise on X,https://gizmodo.com/taylor-swift-pulling-a-9-11-gives-companies-a-whole-new-reason-to-advertise-on-x-2000487130,SIlly edgelord AI-generated images flood X.,2024-08-14T18:35:25Z,Gizmodo.com,
4.4 magnitude earthquake hits Los Angeles area,https://www.bbc.com/news/articles/ckg2040vrjdo,"The epicentre hit near Highland Park, a neighbourhood in Los Angeles County not far from the famous Hollywood sign.",2024-08-12T20:16:15Z,BBC News,"Los Angeles, Highland Park, Los Angeles County, Hollywood, https://www.bbc.com/news/articles/ckg2040vrjdo"
[Removed],https://removed.com,[Removed],1970-01-01T00:00:00Z,[Removed],
Captain of Bayesian rescue boat describes 'disaster',https://www.bbc.com/news/videos/cj621r0xn67o,Fifteen people were rescued and at least one person has died after a luxury yacht sank off Sicily's coast.,2024-08-19T14:00:59Z,BBC News,Sicily
Japan Issues First Ever 'Megaquake' Warning,https://slashdot.org/story/24/08/09/2339254/japan-issues-first-ever-megaquake-warning,"After a 7.1 tremor struck southwestern Japan on Thursday, the country's meteorological agency issued its first-ever alert for a possible ""megaquake."" It marks the first time the warning has been issued under new rules drawn up after a 2011 earthquake, tsunami…",2024-08-10T01:25:00Z,Slashdot.org,"Japan, Japan"
Couple left 'heartbroken' by burst water main damage,https://www.bbc.com/news/articles/c9x8zw6dkpro,Steve and Gill Wallis lost all of their possessions when a storage unit was deluged by the flood.,2024-08-11T01:30:35Z,BBC News,
